Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Stunfisk (Galarian),79.9,618,ground,steel,101.8,127.9,169,2200089,26.5,1497,Mud Shot,Rock Slide,Earthquake,6,9,5,75000
Wormadam (Trash),79.9,413,bug,steel,105.2,150.9,134,2126928,42.5,1500,Bug Bite,Bug Buzz,Iron Head,20,17,1,10000
Greninja,79.3,658,water,dark,139.6,101.6,113,1602682,21,1497,Water Shuriken,Hydro Cannon,Night Slash,3,3,3,10000
Sandslash (Alolan),79.3,28,ice,steel,116.6,132.6,124,1917384,23,1500,Shadow Claw,Ice Punch,Drill Run,5,6,3,50000
Dugtrio (Alolan),79,51,ground,steel,148.9,111.5,90,1494460,29,1497,Mud Slap,Mud Bomb,Iron Head,4,5,3,50000
Excadrill (Shadow),78.8,530,ground,steel,142.7,78.8,139,1561805,17,1494,Mud Slap,Drill Run,Rock Slide,5,5,3,50000
Politoed,78.6,186,water,none,114.7,121.7,140,1954251,23,1498,Mud Shot,Weather Ball (Water),Earthquake,5,9,3,50000
Regirock,77.5,377,rock,none,103.7,180.2,115,2149641,18,1497,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Castform (Rainy),77.4,351,water,none,113.4,119.6,146,1979669,38.5,1499,Water Gun,Weather Ball (Water),Thunder,12,20,5,75000
Lapras (Shadow),77.4,131,water,ice,104.7,114,179,2135530,21.5,1497,Psywave,Sparkling Aria,Ice Beam,12,14,5,75000
Azumarill,77.3,184,water,fairy,93.7,134.1,190,2387435,43.5,1498,Bubble,Ice Beam,Play Rough,5,6,3,50000
Gyarados (Shadow),77.2,130,water,flying,130.8,108,121,1708726,16.5,1498,Dragon Breath,Aqua Tail,Crunch,12,15,1,10000
Palkia (Shadow),77.2,484,water,dragon,142.3,112.9,98,1574925,13.5,1498,Dragon Breath,Aqua Tail,Draco Meteor,12,22,20,100000
Dewott,77.1,502,water,none,123.8,99.4,147,1809318,35.5,1499,Fury Cutter,Aqua Tail,X-Scissor,9,10,3,10000
Blastoise,76.6,9,water,none,111.5,140.7,127,1992357,22.5,1492,Rollout,Hydro Cannon,Skull Bash,4,6,3,10000
Escavalier,76.3,589,bug,steel,133.9,116.8,107,1673454,19.5,1499,Counter,Drill Run,Razor Shell,8,6,3,50000
Rhyperior (Shadow),76.1,464,ground,rock,126.8,105.5,132,1766090,15,1498,Mud Slap,Breaking Swipe,Rock Wrecker,4,5,3,50000
Lileep,75.6,345,rock,grass,100.8,138.6,151,2111110,50,1460,Acid,Grass Knot,Ancient Power,7,6,3,50000
Escavalier (Shadow),75.5,589,bug,steel,133.9,116.8,107,1673454,19.5,1499,Counter,Drill Run,Razor Shell,8,6,3,50000
Rhydon (Shadow),75.3,112,ground,rock,126.7,102.4,136,1765046,17,1498,Mud Slap,Breaking Swipe,Stone Edge,4,6,3,50000
Bronzong,75.2,437,steel,psychic,111.3,151.8,119,2010401,25.5,1498,Metal Sound,Psyshock,Payback,5,8,3,50000
Toxapex,74.5,748,poison,water,92.3,222,118,2416922,38.5,1493,Poison Jab,Brine,Sludge Wave,8,10,3,50000
Blastoise (Shadow),74.4,9,water,none,111.5,140.7,127,1992357,22.5,1492,Rollout,Hydro Cannon,Skull Bash,4,6,3,10000
Starmie,74.3,121,water,psychic,132.2,121.8,104,1675198,21,1488,Psywave,Surf,Power Gem,12,13,3,50000
Tentacruel (Shadow),74.1,73,water,poison,110.1,139.9,132,2032660,23.5,1496,Acid,Scald,Sludge Wave,7,9,3,50000
Excadrill,74,530,ground,steel,142.7,78.8,139,1561805,17,1494,Mud Slap,Drill Run,Rock Slide,5,5,3,50000
Tentacruel,74,73,water,poison,110.1,139.9,132,2032660,23.5,1496,Acid,Scald,Sludge Wave,7,9,3,50000
Gyarados,73.8,130,water,flying,130.8,108,121,1708726,16.5,1498,Dragon Breath,Aqua Tail,Crunch,12,15,1,10000
Golem (Shadow),73.6,76,rock,ground,125.2,121.7,117,1782513,19,1497,Mud Slap,Stone Edge,Rock Blast,6,4,1,10000
Lileep (Shadow),73.6,345,rock,grass,100.8,138.6,151,2111110,50,1460,Acid,Grass Knot,Ancient Power,7,6,3,50000
Palpitoad,73.4,536,water,ground,116.6,101.6,162,1919059,48.5,1497,Mud Shot,Earth Power,Water Pulse,7,7,3,50000
Frillish,73.2,592,water,ghost,109.2,125.2,135,1846427,50,1421,Hex,Night Shade,Ice Beam,4,5,3,50000
Tinkatuff,73.1,958,fairy,steel,104.2,134.4,149,2087357,50,1477,Fairy Wind,Play Rough,Flash Cannon,7,8,3,75000
Mawile (Shadow),73,303,steel,fairy,125.9,121.2,117,1784529,38.5,1500,Fire Fang,Power-Up Punch,Play Rough,6,10,5,75000
Pawniard,73,624,dark,steel,132,107.8,118,1678084,49,1492,Fury Cutter,Night Slash,X-Scissor,9,10,5,75000
Gholdengo,72.7,1000,steel,ghost,135.7,106.2,114,1643435,15.5,1494,Hex,Shadow Ball,Power Gem,5,4,5,10000
Rhyhorn (Shadow),72.5,111,ground,rock,113.4,110.2,158,1974352,38.5,1499,Mud Slap,Bulldoze,Stomp,5,4,3,50000
Rhyperior,72.5,464,ground,rock,126.8,105.5,132,1766090,15,1498,Mud Slap,Breaking Swipe,Rock Wrecker,4,5,3,50000
Mawile,72.3,303,steel,fairy,125.9,121.2,117,1784529,38.5,1500,Fire Fang,Play Rough,Power-Up Punch,10,6,5,75000
Pelipper,72.3,279,water,flying,123.3,128.7,114,1809463,26,1496,Wing Attack,Weather Ball (Water),Hurricane,5,10,3,50000
Crustle (Shadow),71.8,558,bug,rock,120.9,134.1,114,1848465,22,1499,Fury Cutter,X-Scissor,Rock Slide,10,12,1,10000
Samurott (Hisuian),71.8,503,water,dark,133.2,95.6,132,1680851,20,1496,Fury Cutter,Dark Pulse,Icy Wind,13,12,3,10000
Shellos,71.5,422,water,none,99.2,100.8,166,1659740,50,1284,Mud Slap,Mud Bomb,Body Slam,4,4,3,50000
Tapu Fini,71.5,788,water,fairy,115.3,155.3,108,1934126,20,1498,Water Gun,Surf,Nature's Madness,15,17,20,100000
Durant,71.4,632,bug,steel,135.9,121.2,100,1647192,21,1499,Bug Bite,X-Scissor,Stone Edge,14,19,3,50000
Wailmer (Shadow),71,320,water,none,117.4,68.3,239,1916533,48.5,1500,Rollout,Scald,Body Slam,4,3,1,10000
Carbink,70.9,703,rock,fairy,84.9,247.9,126,2650835,50,1500,Rock Throw,Power Gem,Moonblast,10,12,5,75000
Seismitoad,70.8,537,water,ground,120.3,101.5,152,1856073,22,1498,Mud Shot,Earth Power,Sludge Bomb,7,7,3,50000
Rhydon,70.7,112,ground,rock,126.7,102.4,136,1765046,17,1498,Mud Slap,Breaking Swipe,Stone Edge,4,6,3,50000
Bastiodon,70.6,411,rock,steel,81.1,246.7,138,2761698,47.5,1498,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Golem (Alolan),70.5,76,rock,electric,125.2,121.7,117,1782513,19,1497,Rollout,Wild Charge,Rock Blast,4,4,1,10000
Heatran (Shadow),70.5,485,fire,steel,131.8,116,111,1696227,14.5,1497,Fire Spin,Magma Storm,Stone Edge,4,6,20,100000
Regirock (Shadow),70.5,377,rock,none,105.4,182.5,111,2135412,18,1500,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Wailmer,70.3,320,water,none,117.4,68.3,239,1916533,48.5,1500,Rollout,Scald,Body Slam,4,3,1,10000
Vaporeon,70,134,water,none,119,97.2,163,1886587,17.5,1499,Water Gun,Aqua Tail,Last Resort,12,19,5,75000
Mantine,69.9,226,water,flying,106.2,163.1,122,2113576,27,1499,Wing Attack,Aerial Ace,Ice Beam,6,8,5,75000
Mantyke,69.9,458,water,flying,100.8,163,120,1972572,50,1411,Bubble,Aerial Ace,Water Pulse,4,5,5,10000
Lombre,69.8,271,water,grass,106.7,112.6,142,1706340,50,1353,Bubble,Scald,Grass Knot,5,5,3,50000
Rotom (Wash),69.8,479,electric,water,129.2,143.2,93,1720709,21,1491,Thunder Shock,Thunderbolt,Hydro Pump,7,9,5,75000
Wailord,69.8,321,water,none,119.6,66.8,235,1876670,25,1500,Rollout,Surf,Return,4,6,1,10000
Wartortle,69.8,8,water,none,107.9,137.8,139,2067932,48,1496,Water Gun,Aqua Jet,Ice Beam,14,19,3,10000
Magnemite (Shadow),69.7,81,electric,steel,148.7,113.4,89,1501640,50,1495,Metal Sound,Magnet Bomb,Discharge,6,5,3,50000
Magneton (Shadow),69.4,82,electric,steel,144.7,112.8,95,1550755,22,1500,Metal Sound,Discharge,Magnet Bomb,5,6,3,50000
Kingdra,69.3,230,water,dragon,121.8,126.1,119,1828072,21,1498,Dragon Breath,Outrage,Octazooka,20,17,3,50000
Armaldo (Shadow),69.2,348,rock,bug,133.3,110.9,113,1670643,19.5,1497,Fury Cutter,Rock Blast,Liquidation,10,12,3,50000
Magcargo,69.1,219,fire,rock,110.2,157.9,116,2017737,36.5,1492,Incinerate,Rock Tomb,Overheat,3,3,1,10000
Qwilfish,69.1,211,water,poison,130.5,105.5,123,1693578,27,1490,Poison Sting,Aqua Tail,Ice Beam,4,7,3,50000
Quaquaval,68.8,914,water,fighting,137.9,97.1,121,1620197,18.5,1496,Wing Attack,Close Combat,Aqua Jet,7,6,3,10000
Golem,68.5,76,rock,ground,125.2,121.7,117,1782513,19,1497,Mud Slap,Stone Edge,Rock Blast,6,4,1,10000
Bruxish,68.3,779,water,psychic,137.3,100.4,118,1626064,23.5,1497,Confusion,Aqua Tail,Psychic Fangs,3,3,3,50000
Golduck (Shadow),68.3,55,water,none,125.5,112.2,127,1787063,22.5,1499,Water Gun,Cross Chop,Liquidation,12,15,3,50000
Sealeo (Shadow),68.3,364,ice,water,108.6,113.2,167,2053854,36.5,1497,Powder Snow,Surf,Body Slam,6,5,3,50000
Swanna (Shadow),68.3,581,water,flying,129.3,99.7,134,1727466,26.5,1498,Water Gun,Fly,Ice Beam,15,19,3,50000
Bibarel (Shadow),68.2,400,normal,water,124.2,97.7,149,1807978,30.5,1499,Rollout,Surf,Hyper Fang,4,4,1,10000
Dialga (Shadow),68.1,483,steel,dragon,138.9,109,107,1619687,13.5,1500,Dragon Breath,Iron Head,Thunder,17,20,20,100000
Primarina,68.1,730,water,fairy,131.9,116.8,110,1694382,17.5,1499,Charm,Disarming Voice,Hydro Cannon,8,7,3,10000
Skarmory,68,227,steel,flying,106.2,163.1,122,2113576,27,1499,Steel Wing,Brave Bird,Sky Attack,10,10,5,75000
Walrein,68,365,ice,water,113.1,114.3,153,1978119,20.5,1495,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Poliwhirl (Shadow),67.9,61,water,none,115.1,114.3,148,1947108,50,1500,Bubble,Scald,Mud Bomb,5,4,3,50000
Crustle,67.8,558,bug,rock,120.9,134.1,114,1848465,22,1499,Fury Cutter,X-Scissor,Rock Slide,10,12,1,10000
Gigalith (Shadow),67.8,526,rock,none,127.2,118.4,116,1747772,17,1492,Mud Slap,Meteor Beam,Superpower,6,4,3,50000
Dewgong,67.6,87,water,ice,102.9,133.8,158,2174933,29,1500,Ice Shard,Icy Wind,Drill Run,5,5,3,50000
Golem (Alolan) (Shadow),67.6,76,rock,electric,125.2,121.7,117,1782513,19,1497,Rollout,Wild Charge,Rock Blast,4,4,1,10000
Heatran,67.6,485,fire,steel,131.9,116.4,110,1689500,15,1494,Fire Spin,Magma Storm,Stone Edge,4,6,20,100000
Skarmory (Shadow),67.6,227,steel,flying,106.2,163.1,122,2113576,27,1499,Steel Wing,Brave Bird,Sky Attack,10,10,5,75000
Bastiodon (Shadow),67.5,411,rock,steel,81.1,246.7,138,2761698,47.5,1498,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Graveler (Shadow),67.5,75,rock,ground,123.4,124.9,118,1819319,30.5,1500,Mud Slap,Stone Edge,Dig,6,5,1,10000
Rhyhorn,67.5,111,ground,rock,113.4,110.2,158,1974352,38.5,1499,Mud Slap,Bulldoze,Stomp,5,4,3,50000
Golduck,67.4,55,water,none,125.5,112.2,127,1787063,22.5,1499,Water Gun,Cross Chop,Liquidation,12,15,3,50000
Kabuto,67.4,140,rock,water,133.6,128.6,97,1667621,49,1498,Mud Shot,Aqua Jet,Rock Tomb,5,7,5,75000
Kingambit,67.3,983,dark,steel,126.8,112.8,123,1758613,15,1493,Metal Sound,Foul Play,Iron Head,5,7,5,75000
Klang,67,600,steel,none,114.1,137,125,1954283,31.5,1494,Metal Sound,Thunderbolt,Vise Grip,7,5,5,75000
Gigalith,66.9,526,rock,none,127.2,118.4,116,1747772,17,1492,Mud Slap,Superpower,Meteor Beam,4,6,3,50000
Bibarel,66.7,400,normal,water,124.2,97.7,149,1807978,30.5,1499,Rollout,Surf,Hyper Fang,4,4,1,10000
Bisharp,66.7,625,dark,steel,139.2,111.5,103,1598638,19.5,1497,Snarl,Dark Pulse,X-Scissor,4,4,5,75000
Tyrunt (Shadow),66.7,696,rock,dragon,127.6,106.3,129,1749486,39.5,1499,Dragon Tail,Dragon Claw,Ancient Power,4,5,5,75000
Crawdaunt (Shadow),66.6,342,water,dark,144.5,96.9,110,1540695,22.5,1497,Snarl,Night Slash,Scald,3,4,3,50000
Kleavor,66.6,900,bug,rock,144.2,105.1,102,1545034,17.5,1498,Fury Cutter,X-Scissor,Stone Edge,10,14,5,75000
Poliwhirl,66.6,61,water,none,115.1,114.3,148,1947108,50,1500,Bubble,Scald,Mud Bomb,5,4,3,50000
Walrein (Shadow),66.6,365,ice,water,113.1,114.3,153,1978119,20.5,1495,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Wailord (Shadow),66.5,321,water,none,119.6,66.8,235,1876670,25,1500,Rollout,Surf,Hyper Beam,4,7,1,10000
Wartortle (Shadow),66.3,8,water,none,107.9,137.8,139,2067932,48,1496,Water Gun,Aqua Jet,Ice Beam,14,19,3,10000
Armaldo,66,348,rock,bug,133.3,110.9,113,1670643,19.5,1497,Fury Cutter,Rock Blast,Liquidation,10,12,3,50000
Graveler (Alolan) (Shadow),66,75,rock,electric,123.4,124.9,118,1819319,30.5,1500,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Sealeo,66,364,ice,water,108.6,113.2,167,2053854,36.5,1497,Powder Snow,Surf,Body Slam,6,5,3,50000
Milotic,65.8,350,water,none,113.2,132.2,132,1974479,18.5,1495,Dragon Tail,Surf,Wrap,5,5,5,75000
Crawdaunt,65.4,342,water,dark,144.5,96.9,110,1540695,22.5,1497,Snarl,Night Slash,Scald,3,4,3,50000
Magnemite,65.1,81,electric,steel,148.7,113.4,89,1501640,50,1495,Metal Sound,Magnet Bomb,Discharge,6,5,3,50000
Tyrunt,64.9,696,rock,dragon,127.6,106.3,129,1749486,39.5,1499,Dragon Tail,Dragon Claw,Ancient Power,4,5,5,75000
Wugtrio,64.9,961,water,none,151.8,107.2,90,1464371,29,1496,Mud Slap,Liquidation,Surf,5,5,3,50000
Empoleon (Shadow),64.8,395,water,steel,125.8,115.9,122,1777988,19,1500,Metal Claw,Hydro Cannon,Drill Peck,6,6,3,10000
Empoleon,64.6,395,water,steel,125.8,115.9,122,1777988,19,1500,Metal Claw,Hydro Cannon,Drill Peck,6,6,3,10000
Alomomola,64.4,594,water,none,96.7,98.8,240,2292831,26,1490,Waterfall,Hydro Pump,Blizzard,10,10,5,75000
Lairon (Shadow),64.4,305,steel,rock,114.5,142.8,120,1962204,28,1500,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Relicanth,64.4,369,water,rock,105.2,137.5,147,2126096,22.5,1498,Water Gun,Aqua Tail,Ancient Power,12,15,5,75000
Kingdra (Shadow),64.3,230,water,dragon,121.8,126.1,119,1828072,21,1498,Dragon Breath,Outrage,Octazooka,20,17,3,50000
Sudowoodo,64.3,185,rock,none,117.2,130.1,125,1905357,26,1496,Counter,Meteor Beam,Trailblaze,10,8,5,75000
Croconaw (Shadow),64.1,159,water,none,118.8,118.8,134,1891327,35,1499,Water Gun,Ice Punch,Crunch,14,15,3,10000
Jirachi,64.1,385,steel,psychic,120.5,119.4,129,1855163,16.5,1498,Confusion,Doom Desire,Dazzling Gleam,4,5,20,100000
Aron (Shadow),64,304,steel,rock,114.3,131.1,127,1902550,50,1478,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Graveler,63.9,75,rock,ground,122.9,127.3,117,1831093,30,1500,Mud Slap,Stone Edge,Dig,6,5,1,10000
Magneton,63.9,82,electric,steel,144.7,112.8,95,1550755,22,1500,Metal Sound,Discharge,Magnet Bomb,5,6,3,50000
Lairon,63.7,305,steel,rock,114.5,142.8,120,1962204,28,1500,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Quaxwell,63.7,913,water,none,124.7,103.1,139,1786476,32.5,1496,Water Gun,Aqua Jet,Aerial Ace,14,14,3,10000
Sudowoodo (Shadow),63.6,185,rock,none,117.2,130.1,125,1905357,26,1496,Counter,Meteor Beam,Trailblaze,10,8,5,75000
Aggron,63.5,306,steel,rock,116.1,154,107,1912293,18.5,1492,Metal Sound,Rock Tomb,Thunder,7,8,1,10000
Aurorus,63.4,699,rock,ice,114.1,105.7,163,1966639,20,1498,Powder Snow,Weather Ball (Ice),Meteor Beam,5,8,5,75000
Seaking,63.4,119,water,none,123.1,105.9,140,1825075,26.5,1500,Poison Jab,Drill Run,Icy Wind,7,7,3,50000
Lumineon,63.2,457,water,none,109.5,137.2,136,2042625,33,1497,Water Gun,Water Pulse,Silver Wind,19,15,3,50000
Aron,62.7,304,steel,rock,114.3,131.1,127,1902550,50,1478,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Huntail,62.7,367,water,none,131.5,126.3,102,1694679,24,1498,Water Gun,Aqua Tail,Crunch,12,15,3,50000
Celesteela,62.6,797,steel,flying,119.6,119,131,1864503,18,1495,Air Slash,Body Slam,Iron Head,4,6,20,100000
Croconaw,62.6,159,water,none,118.8,118.8,134,1891327,35,1499,Water Gun,Ice Punch,Crunch,14,15,3,10000
Boldore (Shadow),62.5,525,rock,none,126.5,108.2,130,1779034,28,1500,Mud Slap,Stone Edge,Rock Slide,6,5,3,50000
Graveler (Alolan),62.5,75,rock,electric,122.9,127.3,117,1831093,30,1500,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Swanna,62.5,581,water,flying,129.3,99.7,134,1727466,26.5,1498,Air Slash,Fly,Ice Beam,5,7,3,50000
Basculin,62,550,water,none,134,96.5,129,1667480,27,1495,Water Gun,Aqua Tail,Aqua Jet,12,14,1,10000
Omanyte (Shadow),62,138,rock,water,129.2,131.7,102,1735737,44.5,1500,Mud Shot,Rock Tomb,Rock Blast,7,5,5,75000
Slowking,62,199,water,psychic,113.4,120.9,143,1961133,22,1493,Water Gun,Surf,Psychic,15,19,3,50000
Slowpoke,62,79,water,psychic,104.2,95,186,1840271,50,1386,Confusion,Psyshock,Water Pulse,4,5,3,50000
Slowking (Shadow),61.4,199,water,psychic,113.4,120.9,143,1961133,22,1493,Water Gun,Surf,Psychic,15,19,3,50000
Omanyte,61.3,138,rock,water,129.2,131.7,102,1735737,44.5,1500,Mud Shot,Rock Tomb,Rock Blast,7,5,5,75000
Sandshrew (Alolan),61.3,27,ice,steel,117.6,121,127,1807853,50,1462,Powder Snow,Night Slash,Blizzard,5,10,3,50000
Chinchou,61,170,water,electric,101.7,94.1,164,1569336,50,1265,Bubble,Thunderbolt,Water Pulse,5,5,3,50000
Slowbro,61,80,water,psychic,113.4,120.9,143,1961133,22,1493,Water Gun,Surf,Ice Beam,15,19,3,50000
Floatzel,60.5,419,water,none,143.8,81.1,133,1551619,22.5,1494,Water Gun,Aqua Jet,Swift,14,12,3,50000
Sandshrew (Alolan) (Shadow),60.2,27,ice,steel,117.6,121,127,1807853,50,1462,Powder Snow,Night Slash,Blizzard,5,10,3,50000
Geodude (Alolan),60.1,74,rock,electric,123.5,123.5,113,1724177,50,1462,Volt Switch,Rock Tomb,Rock Slide,4,3,1,10000
Prinplup,60.1,394,water,none,119.1,116,136,1878103,37,1500,Bubble,Icy Wind,Hydro Pump,5,7,3,10000
Suicune (Shadow),59.9,245,water,none,106.9,143.1,136,2079389,18.5,1491,Ice Fang,Bubble Beam,Scald,7,9,20,100000
